limbania	255
linares	940
lionel	206
lira	990
lis	1041
lised	1010
liseth	1376
livaniel	1618
livia	223
liz	633
lizandro	1961
lizarazo	2304
lizcano	912
lizeth	1680
liévano	1514
llano	1759
llanos	1101
loaiza	2359
lobatón	1475
lola	704
lombana	2258
londoño	2127
lopera	508
lorenzo	1991
los	794
lourdes	522
lovis	1111
lozada	1691
lozano	1859
lubín	2025
luciano	1038
lucidio	1442
lucila	1701
lucina	475
lucrecia	1654
lucresio	438
lucía	2159
ludibia	16
ludina	10
ludovina	1731
ludín	543
luengas	1486
lugan	708
luis	2480
luisa	560
lumey	456
luna	1946
luque	1384
luz	2237
luzdary	1698
luzmila	168
lyda	864
lylyan	1004
lópez	2481
macera	275
machado	1172
machuca	375
macualo	1569
macías	592
madeleine	132
maestre	771
magali	645
magaly	963
magda	177
magdalena	2091
magnolia	6
magola	1788
mahecha	1499
malagón	1431
malaver	1897
maldonado	2317
malta	320
mancera	918
manchego	2043
mancipe	1973
manisalvo	491
manjarréz	70
manosalva	2339
manrique	2149
manríquez	949
manuel	2465
manzanares	115
marcela	1775
marcelino	1684
marco	2386
marcos	1671
mardoqueo	2114
marentes	900
margarita	2050
margfoy	1968
mariana	928
marianeli	529
mariano	886
maribel	1110
maricela	534
mariela	1742
mariluz	1265
marina	2283
marino	181
mario	1428
marisela	798
marisol	2223
maritza	1934
mariño	1326
marleni	1196
marleny	1875
marlis	1135
martha	2457
martín	1919
martínez	2487
mary	1959
marycruz	176
maryen	1293
maría	2483
marín	1137
matajira	677
matallana	967
matamoro	435
matamoros	518
mateos	701
mateus	1359
matheus	222
matilde	2097
maura	143
mauricio	2417
maximiliana	479
maximiliano	141
maximino	254
maxlinder	242
mayorga	1567
mayuza	336
maza	1045
mazuera	1464
medellín	1065
medina	2422
medivelso	911
medrano	661
mejía	1858
melecio	29
melgarejo	48
melquecidec	1816
melquicedec	1786
melquisedec	2314
melquíades	1185
mendieta	2282
mendivelso	2355
mendoza	2464
meneses	933
menjura	258
menjure	1774
merardo	250
mercedes	2408
merchán	2351
merizalde	1180
mery	1322
mesa	1536
micaelina	1574
miguel	2460
miguez	1290
mila	587
milbia	548
milcíades	2249
mileidi	779
mileidy	1382
milena	1513
milla	260
millán	1591
milton	1912
minislav	530
miranda	2010
mireya	1488
miriam	1925
mirian	66
miryam	2310
misael	2271
mogollón	257
moisés	2047
mojica	2051
molano	2045
molina	2302
moncada	1674
monroy	2206
monsalve	2250
monsocua	1880
montalvo	564
montana	434
montaña	2298
montaño	20
montañéz	2383
montealegre	1646
montenegro	2263
montero	449
montes	430
montiel	1552
montoya	2270
monzaque	602
monzoque	171
mora	1274
morales	2384
morano	1030
morantes	1639
morcote	1191
moreno	2474
morera	1414
morillo	431
mosquera	2225
mosso	1851
motrovich	808
motta	1297
moya	1282
moyano	1672
mozo	1447
mujanajinsoy	1312
munca	540
munévar	2350
murcia	2275
muriel	1605
murillo	1917
mutis	252
muñetón	286
muñoz	2424
muñíz	641
myriam	1833
myrian	1526
márquez	2272
mélida	338
méndez	2204
mónica	2006
múnera	1215
nacianceno	2015
nadia	1352
najar	75
nancy	2266
napoleón	692
naranjo	2354
narciso	352
narváez	302
natividad	1473
navarra	97
navarrete	1830
navarro	1201
navas	881
nayibe	1198
nayive	1133
naír	161
nehemías	190
neiger	1306
neira	1827
neita	964
nelci	1321
nell	552
nelly	2020
nelson	2198
nelsy	1945
nely	1263
nemeguen	31
nemesio	617
nemocón	934
nepomuceno	2290
nereida	851
nereo	1644
nery	859
neuta	1358
neville	919
neyib	907
niampira	938
niceforo	439
nick	99
nicodemos	1415
nicodemus	2122
nicolás	1835
nicomedes	1953
nidia	869
nidya	1696
nieto	191
nieves	1662
nina	637
ninfa	1209
niquepa	1692
nirson	74
nitola	1841
niyereth	322
niño	2432
noboa	761
nocobe	330
noemi	300
noguera	747
nohemy	359
nohemí	2060
nohora	1612
nolberto	705
nomezque	210
nontien	1634
nonzoque	772
norato	1094
norberto	1795
norbey	1518
norela	1345
noreyda	200
noriega	1482
norma	866
nova	1770
novas	1234
novoa	1548
noé	1132
nubia	2062
nubya	1374
numesque	1749
numpaque	2139
nunila	840
nunsaba	1162
nustez	2027
nutez	437
nuvia	626
nydia	445
némesis	686
néstor	1734
núñez	1870
obando	2041
obdulio	1181
obregoso	1344
obregón	480
ocación	78
ochoa	2054
octaviano	1351
octavio	1245
octimia	646
ocías	583
odilia	1765
odilio	814
ofelia	1798
ofir	1555
oicata	1240
ojeda	1976
olano	819
olarte	1621
olegario	2026
olga	2344
olinda	306
oliva	1993
olivares	100
olivarez	806
oliverio	2083
oliveros	1937
olivo	596
olivos	1353
olmedo	974
olmos	1908
olver	1210
omaira	2142
omar	2121
omayra	908
onofre	559
onorio	980
onésimo	1216
oracia	485
ordener	644
ordoñez	2346
orduña	59
ordúz	1539
oreja	500
orejarena	748
orentire	317
orestes	1187
orfelina	86
orfelminda	249
orfilia	1659
orjuela	2009
orla	160
orlando	2421
ormaza	1855
ormidas	140
oromacio	1211
oropesa	305
oropeza	2079
oros	361
orozco	2205
ortega	1782
ortegate	1305
ortegón	616
ortíz	2416
osa	1758
osbaldo	348
oscar	2336
oseas	380
osman	972
osorio	1012
ospina	1229
ossa	1466
ostios	778
ostos	1861
osvaldo	1750
oswaldo	2289
otavo	1394
otelo	770
otilia	2008
otocilia	296
otálora	2146
otálvaro	1333
ovalle	642
ovejero	2003
ovidio	2098
oviedo	2024
oyola	369
oñate	103
pabhuense	968
pablina	1000
pablo	2425
pabón	1889
pacabaque	1699
pacacira	961
pacanchique	1947
pacateque	1825
pacavita	648
pacheco	2002
pacho	1287
pachón	1787
paco	396
pacomio	264
padilla	1712
padres	848
paiba	263
paipa	691
paipilla	2157
palacios	2145
palencia	9
pallares	1426
paloma	1176
palomares	875
palomino	2251
pamenio	119
pan	1286
panfilo	43
paniagua	525
panqueba	1988
panqueva	769
pantoja	247
paola	345
parada	2070
paredes	2140
pareja	1199
parmenio	1496
parra	2291
parrado	625
pasachoa	2313
pascual	1047
pascuala	36
pasion	1389
pastor	1379
patalagua	1479
patarroyo	2375
paternina	1847
patino	1556
patiño	2058
patricia	2436
patricio	1716
patrocinia	1594
patrocinio	1530
paula	415
paulino	142
paulo	68
paz	1461
pedraos	1719
pedraza	2175
pedro	2461
pedroza	2257
peláez	506
penagos	1777
perafán	230
peralta	1559
perdomo	1709
perea	611
peregrino	1309
pereira	1726
perico	331
perilla	2297
pesca	1693
pez	910
peña	2295
peñalosa	905
peñaloza	1009
peñón	1159
piamonte	1703
pidiache	116
pidiachi	1803
piedrahíta	1614
piero	684
pineda	2343
pinedo	784
pinilla	2135
pinto	1494
pinzón	2410
pipe	1164
pirabague	1044
pirabaque	410
pirachicán	1665
piracon	1387
piragauta	2141
piraguata	862
piraján	1836
piramanrique	1194
piraquive	1892
pirateque	1600
piratoba	643
piratova	165
piravague	665
piravaque	13
pirazán	1301
piriache	1242
pito	681
piza	246
piñedes	395
piñero	703
piñeros	1864
piñuela	917
plauxila	1420
plazas	2190
plinio	412
polidoro	542
polo	1034
pompilio	1790
ponare	1406
ponguta	1957
porfidia	767
porfidio	1593
porfirio	332
porras	1565
portela	378
portilla	28
portuguéz	660
posidia	1576
posso	1587
poveda	2287
praxedes	813
praxedis	1982
preciado	2071
precistato	234
pregonero	225
presentación	1747
prieto	2068
primitiva	353
primitivo	1811
priscila	1784
profetiza	1014
próspero	1761
puentes	1527
puerto	2092
pulido	2404
puno	673
pureza	736
páez	1913
pérez	2426
quenguan	313
querubín	232
quevedo	1492
quezada	1458
quiazua	854
quicasaque	1884
quiceno	2252
quijano	1087
quimbayo	1635
quinaya	231
quinta	179
quintana	2342
quintero	2368
quiroga	2100
quiróz	2048
quispi	977
quitián	1854
quiñones	2292
quróz	947
raba	186
rafael	2448
rafaela	1445
rafaelino	743
rafico	1381
ragua	1448
raimundo	351
ramiro	2123
ramos	1956
ramírez	2462
ramón	1933
rangel	1303
ravelo	2096
